date,old money
2020-12-27,66
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,52
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,100
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,52
2021-04-25,0
2021-05-02,0
2021-05-09,52
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,63
2021-09-19,99
2021-09-26,0
2021-10-03,76
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,87
2021-11-14,88
2021-11-21,64
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
